Date,Envelope,Name,Notes,Amount,Account,Status
03/26/2025,Fun,MEC CALGARY,,-115.73,Visa,Cleared
03/27/2025,Gas,SHELL #1765 CALGARY AB,,-77.70,Chequing,Cleared
03/27/2025,Groceries,SAFEWAY #3482,,-145.40,Chequing,Cleared
03/27/2025,Household,AMZN Mktp CA*RQUTYM,,-55.46,Chequing,Cleared
03/27/2025,Travel,WESTJET AIRLINES,,-325.47,Visa,Cleared
03/28/2025,Household,SHOPPERS DRUG MART #5164,,-58.37,Visa,Cleared
03/30/2025,Water,EPCOR WATER & SEWER,,-88.51,Visa,Cleared
03/31/2025,Groceries,COSTCO WHOLESALE #8878,,-211.45,Visa,Cleared
04/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
04/01/2025,Groceries,COSTCO WHOLESALE #5439,,-133.50,Chequing,Cleared
04/02/2025,Dining,SQ *BLUE DOOR COFFEE,,-19.77,Visa,Cleared
04/02/2025,Phone,TELUS MOBILITY 8776,,-85.00,Chequing,Cleared
04/03/2025,Household,LONDON DRUGS 1284,,-72.16,Chequing,Cleared
04/06/2025,Vehicle Repairs,CANADIAN TIRE #4681,,-34.04,Visa,Cleared
04/07/2025,Gas,SHELL #9720 CALGARY AB,,-76.46,Chequing,Cleared
04/07/2025,Groceries,CALGARY CO-OP #5674,,-148.07,Chequing,Cleared
04/07/2025,Fun,CHAPTERS INDIGO #8733,,-28.10,Visa,Cleared
04/08/2025,Dining,SQ *BLUE DOOR COFFEE,,-10.90,Visa,Cleared
04/08/2025,Travel,PARK N FLY YYC,,-101.33,Visa,Cleared
04/10/2025,Gas,SHELL #2458 CALGARY AB,,-50.06,Chequing,Cleared
04/10/2025,Gas,PETRO-CANADA 9397,,-74.91,Chequing,Cleared
04/13/2025,Subscriptions,NETFLIX.COM,,-18.99,Chequing,Cleared
04/14/2025,Dining,TIM HORTONS #4600,,-8.34,Chequing,Cleared
04/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
04/15/2025,Dining,TIM HORTONS #5316,,-11.25,Chequing,Cleared
04/15/2025,Subscriptions,SPOTIFY P6797,,-11.99,Chequing,Cleared
04/17/2025,Dining,TIM HORTONS #7849,,-16.82,Visa,Cleared
04/18/2025,Household,SHOPPERS DRUG MART #8797,,-26.55,Visa,Cleared
04/19/2025,Gas,SHELL #5032 CALGARY AB,,-58.12,Visa,Cleared
04/19/2025,Travel,FAIRMONT BANFF SPRINGS,,-599.57,Visa,Cleared
04/20/2025,Groceries,SAFEWAY #7882,,-169.70,Visa,Cleared
04/20/2025,Travel,FAIRMONT BANFF SPRINGS,,-298.24,Visa,Cleared
04/21/2025,Gas,PETRO-CANADA 5053,,-48.26,Chequing,Cleared
04/21/2025,Groceries,CALGARY CO-OP #2611,,-44.82,Visa,Cleared
04/21/2025,Utilities,CITY POWER 3739,,-122.49,Visa,Cleared
04/21/2025,Fun,CINEPLEX ODEON #7670,,-38.16,Chequing,Cleared
04/23/2025,Groceries,SAFEWAY #7973,,-144.25,Visa,Cleared
04/23/2025,Dining,TIM HORTONS #6794,,-4.35,Chequing,Cleared
04/24/2025,Water,EPCOR WATER & SEWER,,-77.15,Visa,Cleared
04/24/2025,Household,AMZN Mktp CA*HNJAJM,,-42.77,Visa,Cleared
04/25/2025,Household,AMZN Mktp CA*9VCGNF,,-55.42,Visa,Cleared
04/25/2025,Household,AMZN Mktp CA*WULRDO,,-52.56,Visa,Cleared
04/25/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-9.80,Chequing,Cleared
04/25/2025,Clothing,WINNERS #6711,,-43.54,Visa,Cleared
04/26/2025,Dining,SKIPTHEDISHES 4027,,-58.76,Chequing,Cleared
04/27/2025,Groceries,SAFEWAY #9703,,-136.56,Chequing,Cleared
04/29/2025,Fitness,GOODLIFE FITNESS 3464,,-49.99,Visa,Cleared
04/30/2025,Household,SHOPPERS DRUG MART #8696,,-24.12,Visa,Cleared
05/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
05/01/2025,Groceries,SAFEWAY #4382,,-187.62,Chequing,Cleared
05/01/2025,Groceries,COSTCO WHOLESALE #7257,,-179.35,Visa,Cleared
05/03/2025,Groceries,SAFEWAY #6261,,-66.42,Visa,Cleared
05/03/2025,Household,LONDON DRUGS 4181,,-62.49,Visa,Cleared
05/04/2025,Gas,SHELL #5402 CALGARY AB,,-60.54,Chequing,Cleared
05/04/2025,Dining,TIM HORTONS #8403,,-8.09,Visa,Cleared
05/04/2025,Vehicle Repairs,CANADIAN TIRE #2497,,-41.63,Visa,Cleared
05/05/2025,Household,SHOPPERS DRUG MART #6025,,-30.12,Visa,Cleared
05/06/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-13.56,Visa,Cleared
05/06/2025,Clothing,WINNERS #8311,,-104.55,Visa,Cleared
05/07/2025,Gas,PETRO-CANADA 6271,,-48.21,Visa,Cleared
05/07/2025,Dining,SQ *BLUE DOOR COFFEE,,-10.13,Chequing,Cleared
05/09/2025,Utilities,CITY POWER 5746,,-164.68,Chequing,Cleared
05/09/2025,Household,AMZN Mktp CA*XFCVIT,,-86.92,Chequing,Cleared
05/10/2025,Groceries,SAFEWAY #7655,,-162.26,Visa,Cleared
05/10/2025,Phone,TELUS MOBILITY 1734,,-85.00,Visa,Cleared
05/10/2025,Fun,CINEPLEX ODEON #4981,,-47.31,Visa,Cleared
05/11/2025,Gas,PETRO-CANADA 6205,,-64.95,Visa,Cleared
05/11/2025,Groceries,CALGARY CO-OP #3513,,-132.66,Chequing,Cleared
05/11/2025,Dining,TIM HORTONS #5835,,-16.96,Chequing,Cleared
05/11/2025,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
05/11/2025,Travel,FAIRMONT BANFF SPRINGS,,-206.21,Visa,Cleared
05/13/2025,Gas,SHELL #4008 CALGARY AB,,-56.18,Visa,Cleared
05/14/2025,Subscriptions,SPOTIFY P8436,,-11.99,Visa,Cleared
05/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
05/15/2025,Household,AMZN Mktp CA*ELRPC5,,-62.59,Chequing,Cleared
05/16/2025,Dining,TIM HORTONS #7974,,-11.26,Chequing,Cleared
05/16/2025,Dining,SQ *BLUE DOOR COFFEE,,-11.75,Chequing,Cleared
05/18/2025,Household,AMZN Mktp CA*GYH8QS,,-63.71,Visa,Cleared
05/20/2025,Dining,TIM HORTONS #3865,,-13.84,Visa,Cleared
05/20/2025,Household,SHOPPERS DRUG MART #6336,,-59.89,Visa,Cleared
05/22/2025,Gas,SHELL #3228 CALGARY AB,,-76.37,Chequing,Cleared
05/22/2025,Dining,SKIPTHEDISHES 1640,,-61.01,Chequing,Cleared
05/22/2025,Fitness,GOODLIFE FITNESS 2861,,-49.99,Visa,Cleared
05/26/2025,Groceries,CALGARY CO-OP #2387,,-47.81,Visa,Cleared
05/28/2025,Water,EPCOR WATER & SEWER,,-65.68,Chequing,Cleared
06/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
06/02/2025,Clothing,WINNERS #1669,,-30.94,Visa,Cleared
06/03/2025,Groceries,CALGARY CO-OP #3149,,-45.89,Chequing,Cleared
06/03/2025,Household,LONDON DRUGS 7822,,-61.34,Chequing,Cleared
06/03/2025,Clothing,WINNERS #5734,,-112.91,Visa,Cleared
06/06/2025,Phone,TELUS MOBILITY 2853,,-85.00,Chequing,Cleared
06/06/2025,Household,AMZN Mktp CA*ZJ3G8T,,-92.18,Chequing,Cleared
06/07/2025,Groceries,CALGARY CO-OP #7604,,-40.38,Visa,Cleared
06/07/2025,Groceries,COSTCO WHOLESALE #1055,,-232.84,Visa,Cleared
06/07/2025,Dining,TIM HORTONS #8729,,-8.25,Chequing,Cleared
06/08/2025,Groceries,SAFEWAY #6085,,-152.58,Chequing,Cleared
06/08/2025,Subscriptions,SPOTIFY P8725,,-11.99,Visa,Cleared
06/08/2025,Household,SHOPPERS DRUG MART #7979,,-36.00,Chequing,Cleared
06/08/2025,Household,AMZN Mktp CA*K8JMKR,,-37.48,Chequing,Cleared
06/09/2025,Gas,PETRO-CANADA 5079,,-48.64,Visa,Cleared
06/09/2025,Groceries,SAFEWAY #7733,,-128.32,Chequing,Cleared
06/11/2025,Water,EPCOR WATER & SEWER,,-89.69,Visa,Cleared
06/12/2025,Gas,SHELL #9203 CALGARY AB,,-68.07,Visa,Cleared
06/12/2025,Dining,SQ *BLUE DOOR COFFEE,,-11.05,Chequing,Cleared
06/12/2025,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
06/12/2025,Utilities,CITY POWER 8728,,-157.46,Visa,Cleared
06/13/2025,Dining,TIM HORTONS #7684,,-10.52,Chequing,Cleared
06/13/2025,Vehicle Repairs,CANADIAN TIRE #4179,,-161.14,Visa,Cleared
06/13/2025,Fun,CINEPLEX ODEON #9842,,-24.65,Chequing,Cleared
06/14/2025,Gas,PETRO-CANADA 1334,,-57.88,Visa,Cleared
06/14/2025,Dining,TIM HORTONS #4121,,-15.45,Visa,Cleared
06/14/2025,Household,BEST BUY #9686,,-245.47,Visa,Cleared
06/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
06/16/2025,Dining,TIM HORTONS #6704,,-17.48,Chequing,Cleared
06/18/2025,Dining,SKIPTHEDISHES 2297,,-35.91,Chequing,Cleared
06/18/2025,Household,PUROLATOR 1491,,-19.97,Visa,Cleared
06/19/2025,Household,SHOPPERS DRUG MART #4138,,-20.92,Visa,Cleared
06/20/2025,Household,AMZN Mktp CA*U22MTS,,-88.39,Chequing,Cleared
06/22/2025,Gas,SHELL #3423 CALGARY AB,,-56.36,Visa,Cleared
06/22/2025,Fitness,GOODLIFE FITNESS 5301,,-49.99,Chequing,Cleared
06/22/2025,Travel,FAIRMONT BANFF SPRINGS,,-248.45,Visa,Cleared
06/27/2025,Groceries,SAFEWAY #7558,,-161.80,Chequing,Cleared
06/28/2025,Gas,SHELL #7506 CALGARY AB,,-80.71,Visa,Cleared
06/29/2025,Dining,SQ *BLUE DOOR COFFEE,,-9.67,Chequing,Cleared
06/30/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-21.07,Chequing,Cleared
07/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
07/01/2025,Gas,PETRO-CANADA 1531,,-79.73,Visa,Cleared
07/01/2025,Dining,SQ *BLUE DOOR COFFEE,,-6.35,Visa,Cleared
07/01/2025,Water,EPCOR WATER & SEWER,,-69.25,Chequing,Cleared
07/02/2025,Gas,SHELL #9410 CALGARY AB,,-68.21,Chequing,Cleared
07/02/2025,Household,SHOPPERS DRUG MART #7507,,-32.74,Visa,Cleared
07/04/2025,Gas,PETRO-CANADA 9157,,-67.49,Chequing,Cleared
07/05/2025,Phone,TELUS MOBILITY 5964,,-85.00,Chequing,Cleared
07/06/2025,Household,SHOPPERS DRUG MART #3246,,-27.14,Visa,Cleared
07/06/2025,Household,LONDON DRUGS 5800,,-24.94,Visa,Cleared
07/07/2025,Subscriptions,NETFLIX.COM,,-18.99,Chequing,Cleared
07/08/2025,Groceries,CALGARY CO-OP #3772,,-89.68,Visa,Cleared
07/09/2025,Groceries,COSTCO WHOLESALE #1780,,-200.17,Visa,Cleared
07/09/2025,Household,AMZN Mktp CA*MZF550,,-71.49,Chequing,Cleared
07/11/2025,Gas,SHELL #5488 CALGARY AB,,-74.61,Visa,Cleared
07/11/2025,Dining,SKIPTHEDISHES 1923,,-66.65,Visa,Cleared
07/11/2025,Fitness,GOODLIFE FITNESS 4644,,-49.99,Chequing,Cleared
07/14/2025,Groceries,SAFEWAY #6788,,-158.60,Chequing,Cleared
07/14/2025,Dining,TIM HORTONS #1926,,-10.80,Chequing,Cleared
07/14/2025,Household,AMZN Mktp CA*MZPGHU,,-104.17,Visa,Cleared
07/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
07/16/2025,Clothing,WINNERS #9112,,-64.67,Visa,Cleared
07/17/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-11.64,Chequing,Cleared
07/17/2025,Fun,MEC CALGARY,,-63.43,Visa,Cleared
07/18/2025,Groceries,CALGARY CO-OP #3452,,-54.54,Visa,Cleared
07/19/2025,Dining,SQ *BLUE DOOR COFFEE,,-14.70,Chequing,Cleared
07/21/2025,Utilities,CITY POWER 1311,,-173.63,Chequing,Cleared
07/22/2025,Dining,TIM HORTONS #8158,,-7.32,Visa,Cleared
07/22/2025,Dining,TIM HORTONS #8864,,-4.38,Visa,Cleared
07/23/2025,Dining,TIM HORTONS #4998,,-4.37,Chequing,Cleared
07/23/2025,Subscriptions,SPOTIFY P8709,,-11.99,Chequing,Cleared
07/24/2025,Gas,SHELL #2615 CALGARY AB,,-66.68,Chequing,Cleared
07/24/2025,Household,AMZN Mktp CA*EA3OCU,,-122.10,Chequing,Cleared
07/25/2025,Groceries,SAFEWAY #8887,,-117.23,Chequing,Cleared
07/25/2025,Fun,CINEPLEX ODEON #8605,,-23.47,Visa,Cleared
07/25/2025,Fun,BANFF UPPER HOT SPRINGS,,-59.07,Visa,Cleared
07/27/2025,Vehicle Repairs,CANADIAN TIRE #9749,,-213.96,Chequing,Cleared
07/29/2025,Groceries,SAFEWAY #5383,,-180.17,Chequing,Cleared
08/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
08/01/2025,Household,AMZN Mktp CA*7GJ1EX,,-20.23,Visa,Cleared
08/02/2025,Gas,SHELL #5118 CALGARY AB,,-50.57,Visa,Cleared
08/02/2025,Gas,PETRO-CANADA 9225,,-63.85,Chequing,Cleared
08/02/2025,Groceries,COSTCO WHOLESALE #6243,,-257.83,Visa,Cleared
08/03/2025,Gas,SHELL #3578 CALGARY AB,,-66.25,Visa,Cleared
08/04/2025,Dining,TIM HORTONS #2958,,-16.99,Chequing,Cleared
08/04/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-15.08,Visa,Cleared
08/05/2025,Gas,SHELL #3489 CALGARY AB,,-84.27,Chequing,Cleared
08/05/2025,Water,EPCOR WATER & SEWER,,-85.93,Visa,Cleared
08/08/2025,Gas,PETRO-CANADA 4096,,-62.19,Chequing,Cleared
08/08/2025,Household,BEST BUY #3780,,-203.29,Visa,Cleared
08/09/2025,Vehicle Repairs,CANADIAN TIRE #8452,,-182.64,Chequing,Cleared
08/10/2025,Groceries,SAFEWAY #3960,,-67.02,Visa,Cleared
08/11/2025,Fun,CINEPLEX ODEON #9547,,-24.95,Chequing,Cleared
08/12/2025,Groceries,SAFEWAY #6393,,-148.80,Visa,Cleared
08/13/2025,Groceries,CALGARY CO-OP #6440,,-56.80,Chequing,Cleared
08/13/2025,Household,PUROLATOR 2768,,-28.24,Visa,Cleared
08/14/2025,Dining,SKIPTHEDISHES 6632,,-57.47,Chequing,Cleared
08/14/2025,Fitness,GOODLIFE FITNESS 6899,,-49.99,Chequing,Cleared
08/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
08/16/2025,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
08/18/2025,Household,SHOPPERS DRUG MART #3700,,-23.79,Chequing,Cleared
08/19/2025,Household,AMZN Mktp CA*02CH2G,,-19.03,Visa,Cleared
08/20/2025,Dining,DAIRY QUEEN #2184,,-19.65,Visa,Cleared
08/21/2025,Groceries,SAFEWAY #4331,,-176.93,Chequing,Cleared
08/24/2025,Household,LONDON DRUGS 3716,,-29.30,Visa,Cleared
08/25/2025,Dining,SQ *BLUE DOOR COFFEE,,-9.90,Chequing,Cleared
08/25/2025,Subscriptions,SPOTIFY P1747,,-11.99,Visa,Cleared
08/29/2025,Dining,TIM HORTONS #7496,,-17.65,Visa,Cleared
08/29/2025,Dining,SQ *BLUE DOOR COFFEE,,-6.90,Visa,Cleared
08/29/2025,Phone,TELUS MOBILITY 6215,,-85.00,Visa,Cleared
08/30/2025,Groceries,CALGARY CO-OP #5657,,-115.09,Visa,Cleared
08/30/2025,Dining,TIM HORTONS #7457,,-14.01,Chequing,Cleared
08/30/2025,Dining,TIM HORTONS #8040,,-8.11,Chequing,Cleared
08/31/2025,Utilities,CITY POWER 7452,,-155.35,Visa,Cleared
08/31/2025,Household,SHOPPERS DRUG MART #8993,,-58.27,Visa,Cleared
08/31/2025,Household,AMZN Mktp CA*61OQTO,,-24.44,Chequing,Cleared
09/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
09/01/2025,Vehicle Repairs,CANADIAN TIRE #3166,,-137.11,Chequing,Cleared
09/02/2025,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
09/02/2025,Household,AMZN Mktp CA*GMWXNT,,-56.68,Chequing,Cleared
09/06/2025,Gas,PETRO-CANADA 4416,,-78.80,Chequing,Cleared
09/06/2025,Dining,TIM HORTONS #8708,,-16.91,Visa,Cleared
09/07/2025,Gas,SHELL #1810 CALGARY AB,,-49.07,Visa,Cleared
09/08/2025,Groceries,CALGARY CO-OP #6715,,-129.61,Visa,Cleared
09/09/2025,Dining,SKIPTHEDISHES 1806,,-37.15,Visa,Cleared
09/12/2025,Groceries,SAFEWAY #1731,,-165.96,Chequing,Cleared
09/12/2025,Dining,TIM HORTONS #2628,,-9.96,Visa,Cleared
09/14/2025,Utilities,CITY POWER 2406,,-114.77,Chequing,Cleared
09/14/2025,Household,LONDON DRUGS 7077,,-39.25,Chequing,Cleared
09/14/2025,Household,AMZN Mktp CA*NUM4SS,,-40.56,Chequing,Cleared
09/14/2025,Fun,CINEPLEX ODEON #7440,,-50.46,Chequing,Cleared
09/14/2025,Travel,WESTJET AIRLINES,,-451.85,Visa,Cleared
09/14/2025,Vehicle Repairs,JIFFY LUBE #2012,,-76.75,Visa,Cleared
09/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
09/16/2025,Groceries,SAFEWAY #2179,,-176.36,Visa,Cleared
09/16/2025,Fitness,GOODLIFE FITNESS 6776,,-49.99,Visa,Cleared
09/17/2025,Groceries,SAFEWAY #9630,,-80.11,Chequing,Cleared
09/18/2025,Gas,SHELL #2805 CALGARY AB,,-55.25,Chequing,Cleared
09/19/2025,Phone,TELUS MOBILITY 9777,,-85.00,Visa,Cleared
09/19/2025,Household,SHOPPERS DRUG MART #5112,,-46.68,Chequing,Cleared
09/21/2025,Gas,SHELL #7480 CALGARY AB,,-68.27,Chequing,Cleared
09/22/2025,Dining,TIM HORTONS #1848,,-4.36,Chequing,Cleared
09/23/2025,Dining,TIM HORTONS #8278,,-14.25,Chequing,Cleared
09/23/2025,Dining,SQ *BLUE DOOR COFFEE,,-13.25,Visa,Cleared
09/24/2025,Gas,PETRO-CANADA 3894,,-45.37,Visa,Cleared
09/25/2025,Travel,PARK N FLY YYC,,-102.40,Visa,Cleared
09/25/2025,Fun,BANFF UPPER HOT SPRINGS,,-23.65,Visa,Cleared
09/26/2025,Groceries,COSTCO WHOLESALE #9492,,-285.28,Visa,Cleared
09/26/2025,Water,EPCOR WATER & SEWER,,-64.32,Visa,Cleared
09/27/2025,Groceries,CALGARY CO-OP #5366,,-114.03,Chequing,Cleared
09/27/2025,Household,AMZN Mktp CA*EBEABD,,-39.32,Visa,Cleared
09/28/2025,Household,SHOPPERS DRUG MART #3256,,-38.13,Chequing,Cleared
09/29/2025,Dining,SQ *BLUE DOOR COFFEE,,-15.72,Chequing,Cleared
09/29/2025,Subscriptions,SPOTIFY P6703,,-11.99,Chequing,Cleared
09/29/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-24.83,Chequing,Cleared
09/30/2025,Household,BEST BUY #9804,,-310.39,Visa,Cleared
